CPU_Usage,Memory_Usage,Keystrokes,Network_Activity,Keylogger
18.7,49.1,17,0.8820264896031731,0
33.1,49.0,27,0.040934372022035204,0
26.0,48.8,43,0.2889163916493259,0
25.9,48.8,13,0.6193737791773526,0
11.1,48.9,13,0.1480379381987802,0
20.3,49.0,28,0.7559049560779044,0
33.8,48.8,30,0.38821444432937624,0
26.0,48.9,44,0.34560023313310506,0
19.0,48.9,39,0.030775391096354965,0
17.8,49.2,22,0.9061026733631593,0
28.2,48.7,15,0.3896983494829198,0
19.5,49.0,48,0.6677106755486697,1
33.0,48.9,12,0.984583698488991,0
15.7,49.0,13,0.26119995935411355,0
29.7,48.9,30,0.6302268404058148,0
27.9,49.0,4,0.7559821731898289,0
26.1,48.9,14,0.8919865235064742,0
28.3,48.8,19,0.8502917359489284,0
29.5,48.7,38,0.4539430563449809,0
27.5,48.9,3,0.7201973300822573,0
24.6,48.7,19,0.4117861278257423,0
22.4,49.0,24,0.48607460273489644,0
20.2,48.8,10,0.8777924461829805,0
25.6,48.8,6,0.776692760501709,0
24.8,48.9,30,0.2338604088589823,0
17.6,48.9,48,0.3479354222094183,0
24.1,48.9,35,0.43522810678294965,0
24.9,48.8,36,0.9289414462210054,1
19.8,48.9,27,0.7306321798263183,0
18.2,49.1,18,0.9423584077293289,0
22.9,48.7,30,0.28490629972894976,0
24.1,48.8,15,0.5556994904107407,0
24.5,48.8,37,0.005247240955945975,0
26.7,48.8,25,0.20246003805984558,0
20.3,49.0,3,0.6615887573154634,0
32.9,48.8,5,0.6754558495737971,0
24.5,48.8,17,0.5410373438079605,0
24.6,48.9,12,0.1623135984765124,0
26.4,48.9,17,0.15063555998464018,0
28.5,48.8,8,0.962156290813479,0
19.8,48.8,28,0.6988134844970169,0
21.5,48.8,12,0.08081598039743376,0
14.1,49.2,33,0.1505633418634098,0
25.2,48.7,16,0.6294298768272731,0
12.4,49.0,16,0.2014263570949265,0
27.8,48.7,25,0.5959481055786671,0
31.6,48.8,1,0.471402107072031,0
21.7,48.8,26,0.46150150310009286,0
22.9,48.8,27,0.5177243196312069,0
25.4,48.9,46,0.09924767427811743,0
18.4,48.8,45,0.7783085962188268,1
28.3,48.7,5,0.404598310763589,0
33.8,48.7,25,0.8599333005241648,0
29.4,48.7,0,0.1926438500873736,0
29.0,48.8,5,0.6432029420510593,0
44.1,49.0,36,0.4103362989535465,0
38.5,49.2,23,0.36118119186825004,0
43.7,49.2,22,0.15067825235830046,0
39.0,49.2,28,0.3489688678877634,0
47.4,49.3,2,0.38269177459089554,0
43.9,49.3,0,0.5928964418619042,0
47.5,49.4,26,0.18065554377126158,0
27.1,49.6,13,0.3826620089885707,0
16.5,49.8,19,0.656392196126353,0
18.9,49.5,21,0.2620105659463309,0
18.0,49.4,17,0.7974501861556119,0
21.2,49.5,24,0.2995906334614854,0
21.2,49.8,23,0.12127027893190578,0
35.0,49.6,17,0.11548757514678809,0
40.4,49.6,23,0.4306659745854069,0
42.4,49.6,47,0.2670203991131913,0
60.7,49.8,32,0.7384151292760003,1
30.3,50.1,46,0.8490460803495025,1
47.0,50.1,31,0.5117255211664089,0
40.4,50.4,27,0.07330479459590789,0
45.8,50.8,20,0.23029647747210125,0
42.9,51.1,48,0.5337003336454972,0
40.8,51.3,1,0.7916677529203232,0
27.0,51.4,25,0.10522769470631599,0
